Gene,Entrez,P-value,Multiple testing corrected p-value,Z-score,Twist1,Control,Quantity,Human orthologue
Twist1,22160.0,5.50438919738873e-113,1.00510146744318e-108,22.589437607993,7800.47007384497,5.07552537045931,10.5857881871051,TWIST1
Pcolce,18542.0,4.91991911760871e-46,4.49188615437675e-42,14.2435009971099,6902.31613212309,383.281002820598,4.17060615359931,PCOLCE
Olfml3,99543.0,9.81657139504538e-33,5.97501978911762e-29,11.9155926152098,5676.8126382388,524.671242941807,3.43559550299488,OLFML3
Unc5b,107449.0,4.43866059059776e-32,2.02624855960788e-28,11.789175306867,8058.96758613078,805.013851846603,3.32350951763402,UNC5B
Ptprz1,19283.0,2.46191374523134e-30,8.99090899758485e-27,-11.4460200847275,335.846488952163,3816.78365200145,-3.50648356041279,PTPRZ1
Mme,17380.0,4.69297232233812e-28,1.42822791009823e-24,10.9814561812675,12696.1211740126,1394.46070206288,3.18660861988598,MME
Muc15,269328.0,7.24399288819113e-28,1.889647287691e-24,-10.9421761603775,2600.14562488626,18277.6474740521,-2.81341606144689,MUC15
Lipa,16889.0,1.38433424272375e-27,3.15974290901696e-24,-10.8833160762578,3573.86573167115,23682.6922182611,-2.72827575483575,LIPA
Gpr110,77596.0,8.97678662269181e-26,1.82129026367058e-22,10.4963679918874,548.516523492702,7.47331576433426,6.19764279006768,GPR110
Ncam1,17967.0,2.3153464663712e-24,4.22782264759381e-21,10.1849265609942,3196.35175089276,373.341184848672,3.0978596098155,NCAM1
Btn1a1,12231.0,6.78799858829459e-24,1.1268077656569e-20,-10.0797770255788,2722.69257434064,16438.7353188264,-2.59399331385532,BTN1A1
Sema5a,20356.0,9.11665608412937e-24,1.38725116746835e-20,10.0507546602981,6747.35250875994,987.897446532008,2.77188834721591,SEMA5A
Cacna1c,12288.0,1.03448990199027e-22,1.45306043156479e-19,9.80854538134422,2441.75893579523,291.849045206144,3.06462652285396,CACNA1C
Fat4,329628.0,3.15643676240156e-21,4.11689537724661e-18,9.45741705607946,15486.3819535827,798.913846898375,4.27681638537291,FAT4
Ptprv,13924.0,9.37256562243745e-20,1.14095365510472e-16,9.09599343157774,3228.24965432823,559.76166403378,2.52786756203494,
Foxi1,14233.0,8.03829287353268e-19,9.17370174191917e-16,-8.85948776357016,1352.09664552832,7019.59778950975,-2.37619009238303,FOXI1
Pdlim3,53318.0,1.06286736393274e-18,1.14164459208305e-15,-8.82829151720702,374.924267006069,2358.20706219311,-2.65301928728474,PDLIM3
Clic6,209195.0,1.30005163194496e-18,1.3188301555175e-15,-8.80572869702802,2101.05778112033,10166.8612732279,-2.27468661404564,CLIC6
Cyp24a1,13081.0,2.39189183699153e-18,2.29873394439291e-15,-8.73709129399729,54.3636158099002,785.04388331732,-3.85205998140916,CYP24A1
Slc27a2,26458.0,8.97247473417534e-18,8.19186943230208e-15,-8.586415504599,0.369186089638496,250.425127250846,-9.40581541638708,SLC27A2
Itgb3,16416.0,6.45220634276732e-17,5.61034703899673e-14,-8.3566542253804,2669.52838203807,11444.5977795928,-2.1000099675443,ITGB3
Cbfa2t3,12398.0,7.54001813455521e-17,6.25821505168083e-14,8.33824663498511,647.636297435975,33.6177740083691,4.26788774002438,CBFA2T3
Plxna4,243743.0,9.98300068252958e-17,7.92563445491261e-14,8.30498744029672,2328.8877542099,326.534803461381,2.83433243378865,PLXNA4
Atp6v0a4,140494.0,2.47159144918223e-16,1.88046916091948e-13,-8.19665955823179,894.628561732243,6054.69132350784,-2.75869268783345,ATP6V0A4
Emilin1,100952.0,2.64834782380486e-16,1.92760708846137e-13,8.18834861134748,806.931968562373,73.3038936947512,3.46048530942072,EMILIN1
Gramd1b,235283.0,2.7952455783309e-16,1.92760708846137e-13,8.18184754813712,1663.31150075597,245.26379763237,2.76165217367652,GRAMD1B
Tgfbi,21810.0,2.85024049224846e-16,1.92760708846137e-13,8.17950001000933,1405.64970792571,211.750449808626,2.73080017601627,TGFBI
Slc5a9,230612.0,8.64792144862365e-16,5.62746032264699e-13,-8.04466847364431,697.046575021657,3499.77354491391,-2.32793461263711,SLC5A9
Atp6v1b1,110935.0,8.9373685299432e-16,5.62746032264699e-13,-8.04063557657598,1817.17609114077,7959.00584391272,-2.13089000671284,ATP6V1B1
Spock2,94214.0,9.38070586242114e-16,5.70972296826033e-13,8.03470141981169,1166.98010734507,137.907292447836,3.08100931593335,SPOCK2
Frem2,242022.0,1.05259303387291e-15,6.2001125156514e-13,-8.0205656594728,696.543565566896,3613.57333297276,-2.37514067765525,FREM2
Trf,22041.0,3.03817094481689e-15,1.73365629538614e-12,-7.88932839044816,16839.9102057772,69108.5013157893,-2.03697874762494,TF
Fut1,14343.0,6.41035513973862e-15,3.54706317732204e-12,7.79559920626379,765.865346483556,37.9438507002103,4.33515275955249,FUT1
Plekhg1,213783.0,6.30245026240144e-14,3.38478652327795e-11,7.50163951024742,2032.68151335156,400.476916449045,2.34359319411529,PLEKHG1
Hepacam2,101202.0,1.4599320928511e-13,7.61667429013174e-11,-7.39075883039537,31.9073997144784,482.295636496389,-3.91795481112284,HEPACAM2
Lphn3,319387.0,2.63759764387038e-13,1.33784813825203e-10,-7.3117121036065,1448.74461693081,5460.31706737748,-1.91418142673094,LPHN3
Col6a1,12833.0,2.80654278460385e-13,1.38506679045585e-10,7.30336700543355,5069.20502169169,1346.75511808902,1.91227196637414,COL6A1
Odz3,,4.16184862161408e-13,1.99987778501771e-10,7.25019082257545,1680.92297222665,325.527477114575,2.36840238642881,
Enpp3,209558.0,4.46143620331759e-13,2.08886730955331e-10,-7.24077025219935,2240.74261640138,8315.44720367661,-1.89181691080212,ENPP3
Rdh10,98711.0,5.65371815681028e-13,2.58092233858389e-10,7.20858281935702,2134.53324537807,451.75033108333,2.24032306921143,RDH10
Cyth3,19159.0,6.09801682017958e-13,2.71584846674339e-10,7.19827253473384,3037.56451306291,722.132460854497,2.07257964935872,CYTH3
Atoh8,71093.0,6.97336586218604e-13,3.03175382484564e-10,7.1799563904066,616.123420525761,56.5971166046603,3.44441891691934,ATOH8
Cd44,12505.0,8.07900231862544e-13,3.43075772879304e-10,-7.15980818681926,9690.73275479627,33527.59808535,-1.79067146948745,CD44
Pamr1,210622.0,8.6144205108415e-13,3.57498451199922e-10,7.1510060311924,290.47395386881,7.25593008829409,5.32310444065498,PAMR1
Tll2,24087.0,1.60626904233232e-12,6.51788282510848e-10,7.06499056748938,148.127461034676,0.0,inf,TLL2
Ptgs1,19224.0,1.85505965681719e-12,7.36378028988737e-10,7.04496662478412,1118.98950699484,175.895084686269,2.66940943493299,PTGS1
